"Job ID","Description","State","Start Time","Elapsed Time","User"
"train_aks-4de11586bcfc4e7b9485d8df0a3705c5","compress-1","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-4de11586bcfc4e7b9485d8df0a3705c5","RB-FEA","Solve","Success","1 m, 2 s"," huandinh2022"
"train_aks-4de11586bcfc4e7b9485d8df0a3705c5","compress-2","Success","6/15/2022","1 s"," huandinh2022"
"train_aks-4de11586bcfc4e7b9485d8df0a3705c5","train-3","Success","6/15/2022","54 s"," huandinh2022"
"train_aks-8dd021c14ba147aa8f600906725b5528","compress-1","Success","6/15/2022","0 s"," huandinh2022"
"train_aks-8dd021c14ba147aa8f600906725b5528","RB-FEA","Solve","Success","2 m, 24 s"," huandinh2022"
"train_aks-8dd021c14ba147aa8f600906725b5528","compress-2","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-8dd021c14ba147aa8f600906725b5528","train-3","Success","6/15/2022","2 m, 17 s"," huandinh2022"
"train_aks-9a9f7f471f7f4c51b1d00e1803da0161","compress-1","Success","6/15/2022","1 s"," huandinh2022"
"train_aks-9a9f7f471f7f4c51b1d00e1803da0161","RB-FEA","Solve","Success","60 s"," huandinh2022"
"train_aks-9a9f7f471f7f4c51b1d00e1803da0161","compress-2","Success","6/15/2022","0 s"," huandinh2022"
"train_aks-9a9f7f471f7f4c51b1d00e1803da0161","train-3","Success","6/15/2022","54 s"," huandinh2022"
"train_aks-07cc8f91e107441dbdda1bf058e9b881","compress-1","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-07cc8f91e107441dbdda1bf058e9b881","RB-FEA","Solve","Success","2 m, 22 s"," huandinh2022"
"train_aks-07cc8f91e107441dbdda1bf058e9b881","compress-2","Success","6/15/2022","0 s"," huandinh2022"
"train_aks-07cc8f91e107441dbdda1bf058e9b881","train-3","Success","6/15/2022","2 m, 19 s"," huandinh2022"
"train_aks-0c3e26ae0172497f8836528af31d4f84","compress-1","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-0c3e26ae0172497f8836528af31d4f84","RB-FEA","Solve","Success","25 s"," huandinh2022"
"train_aks-0c3e26ae0172497f8836528af31d4f84","compress-2","Success","6/15/2022","0 s"," huandinh2022"
"train_aks-0c3e26ae0172497f8836528af31d4f84","train-3","Success","6/15/2022","22 s"," huandinh2022"
"train_aks-9ff9e295dfd640cfa6ba69f4174cc0a7","compress-1","Success","6/15/2022","0 s"," huandinh2022"
"train_aks-9ff9e295dfd640cfa6ba69f4174cc0a7","RB-FEA","Solve","Success","2 m, 17 s"," huandinh2022"
"train_aks-9ff9e295dfd640cfa6ba69f4174cc0a7","compress-2","Success","6/15/2022","1 s"," huandinh2022"
"train_aks-9ff9e295dfd640cfa6ba69f4174cc0a7","train-3","Success","6/15/2022","2 m, 17 s"," huandinh2022"
"train_aks-ace08dc322b146458800ff140afaf210","compress-1","Success","6/15/2022","1 s"," huandinh2022"
"train_aks-ace08dc322b146458800ff140afaf210","RB-FEA","Solve","Success","59 s"," huandinh2022"
"train_aks-ace08dc322b146458800ff140afaf210","compress-2","Success","6/15/2022","0 s"," huandinh2022"
"train_aks-ace08dc322b146458800ff140afaf210","train-3","Success","6/15/2022","54 s"," huandinh2022"
"train_aks-a5085bef176e418c94aaa4b7d58dcfb2","compress-1","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-a5085bef176e418c94aaa4b7d58dcfb2","RB-FEA","Solve","Success","2 m, 23 s"," huandinh2022"
"train_aks-a5085bef176e418c94aaa4b7d58dcfb2","compress-2","Success","6/15/2022","0 s"," huandinh2022"
"train_aks-a5085bef176e418c94aaa4b7d58dcfb2","train-3","Success","6/15/2022","2 m, 15 s"," huandinh2022"
"train_aks-f26ce79d089542beaa7f9723f12a3a94","compress-1","Success","6/15/2022","0 s"," huandinh2022"
"train_aks-f26ce79d089542beaa7f9723f12a3a94","RB-FEA","Solve","Success","60 s"," huandinh2022"
"train_aks-f26ce79d089542beaa7f9723f12a3a94","compress-2","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-f26ce79d089542beaa7f9723f12a3a94","train-3","Success","6/15/2022","52 s"," huandinh2022"
"train_aks-c419d24e6a874bc696769397ac2aa968","compress-1","Success","6/15/2022","1 s"," huandinh2022"
"train_aks-c419d24e6a874bc696769397ac2aa968","RB-FEA","Solve","Success","2 m, 17 s"," huandinh2022"
"train_aks-c419d24e6a874bc696769397ac2aa968","compress-2","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-c419d24e6a874bc696769397ac2aa968","train-3","Success","6/15/2022","2 m, 12 s"," huandinh2022"
"train_aks-cc603305c63d4608b2a4e5386667ac79","compress-1","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-cc603305c63d4608b2a4e5386667ac79","RB-FEA","Solve","Success","1 m, 2 s"," huandinh2022"
"train_aks-cc603305c63d4608b2a4e5386667ac79","compress-2","Success","6/15/2022","1 s"," huandinh2022"
